Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
"CHARCOAL, ACTIVATED 250MG TABLET",,,,,,C,"i) Diarrhoea and food poisoning ii) Reduce absorption of drugs, plant, inorganic poison and chemicals in poisoning cases",,"i) ADULT 0.5-1 g given 3-4 times daily. CHILD half adult dose. ii) Need to be dissolved in liquid (slurry consistency). ADULT and CHILD over 12 years: initial 30-100 g or 1-2 g/kg; repeat initial dose as soon as possible or 20-50 g every 2-6 hours. CHILD over 1-12 years, 25-50 g or 1-2 g/kg; may repeat half the initial dose every 2-6 hour as needed. CHILD to 1 year of age, 1 g/kg; may repeat half the initial dose every 2-6 hours as needed. For maximum efficacy administer within 1 hour after ingestion of toxic compound",,,,,
MAGNESIUM TRISILICATE MIXTURE,,,,,,C,"Heartburn, dyspepsia",,10-20 ml 3-4 times daily before meals,,,,,
RANITIDINE 25 MG/ML INJECTION,,,,,,B,"i) Benign gastric/ duodenal ulceration, reflux oesophagitis, Zollinger Ellison Syndrome ii) Stress ulcer prophylaxis in post-operative and high risk patients",,"i) ADULT: Slow IV injection of 50 mg diluted to 20 ml and given over at least 2 minutes. May be repeated every 6-8 hours or IV infusion at rate of 25 mg/hour for 2 hours, may be repeated at 6-8 hours intervals or IM. CHILD: 1 mg/kg/dose 6-8 hourly. ii) Initial slow IV injection of 50 mg, then continuous infusion of 125-250 mcg/kg/hour",,,,,
HYOSCINE N-BUTYLBROMIDE 10MG TABLET,,,,,,C,"Gastrointestinal tract and genito-urinary tract spasm, dyskinesia of the biliary system. Prescribing Restriction(s): Medical Assistant in health settings without Medical Officer is allowed to prescribe this medicine for adult use only.",,"ADULT 10-20mg, 3-4 times a day. CHILD 6-12 years old: 10mg 3 times a day.",,,,,
HYOSCINE N-BUTYLBROMIDE 20MG/ML INJ,,,,,,B,"Gastrointestinal tract and genito-urinary tract spasm, dyskinesia of the biliary system",,20 mg IM/IV repeated after 30 min if needed. Max: 100 mg daily.,,,,,
PANTORAZOLE 40 mg TABLET,,,,,,B,i) Helicobacter pylori eradication ii) Peptic ulcer disease iii) Erosive and non-erosive reflux oesophagitis (GERD and NERD) iv) Zollinger-Ellison Syndrome v) Prevention of NSAID induced gastropathy,,"i) 40 mg twice daily in combination with any of the 2 antibiotics (Clarithromycin 500 mg twice daily, Amoxicillin 1 g twice daily or Metronidazole 400 mg twice daily) for 1-2 weeks ii) 40 mg daily for 2 - 4 weeks iii) 20 - 40 mg daily on morning for 4 weeks iv) Initially 80 mg daily, dose can be titrated up or down as needed. v) 20 mg daily. CHILD not recommended",,,,,
DIPHENOXYLATE HCL 2.5MG WITH ATROPINE SULPHATE 0.025MG TABLET,,,,,,B,Acute diarrhoea,,ADULT initially 4 tablet followed by 2 tablet 4 times daily until diarrhoea is controlled,,,,,
BISACODYL 10mg SUPPOSITORY,,,,,,C,i) Constipation ii) Bowel preparation for radiological procedures and surgery,,"i) ADULT and CHILD over 10 years: 10 mg, CHILD less than 10 years 5 mg insert rectally ii) ADULT 10-20 mg, CHILD over 4 years 5 mg the following morning before procedures insert rectally",,,,,
BISACODYL 5MG TABLET,,,,,,C,i) Constipation ii) Bowel preparation for radiological procedures and surgery,,"i) ADULT and CHILD over 10 years 5-10 mg, CHILD 4-10 years 5 mg. To be taken at night for effect on the following morning ii) ADULT 10-20 mg the night before procedures, CHILD over 4 years 5 mg the night before procedures",,,,,
GLYCERIN 25%& SODIUM CHLORIDE 15% ENEMA,,,,,,C+,Constipation,,1 enema as required,,,,,
LACTULOSE 3.35G/5ML LIQUID,,,,,,C,i) Constipation ii) Hepatic encephalopathy,,"i) ADULT 15 ml twice daily adjusted to patient's need. CHILD 0.5 ml/kg/dose once or twice daily ii) 30-50 ml 3-4 times daily, dose adjusted to produce 2-3 soft stools daily. CHILD 1 ml/kg/dose 3-4 times daily",,,,,
"ZINC OXIDE, BENZYL BENZOATE AND BALSAM PERU SUPPOSITORY ",,,,,, do not use for longer than 7 days OR please refer to the product insert.,"For relief of pruritus, burning and soreness in patients with haemorrhoids and perianal conditions",C,Insert 1 suppository night and morning after bowel movements,,,,,
DIOSMIN 450MG AND HESPERIDIN 50MG TABLET,,,,,,B,i) Haemorrhoids ii) Chronic venous insufficiency,,"i) Acute attack: 6 tablets daily for the first 4 days, then 4 tablets daily in 2 divided doses for 3 days and 2 tablets thereafter. Chronic: 2 tablets daily ii) 2 tab daily with meals",,,,,
METOCLOPRAMIDE HCL 10MG/2ML INJECTION,,,,,,B,") Dyspepsia, flatulence, hiatus hernia, peptic ulceration, reflux oesophagitis, gastritis, duodenitis, cholelithiasis, nausea, vomiting ii) Promote bowel transit during diagnostic procedures",,"i) ADULT over 20 years: 10 mg 3 times daily. Maximum daily dose is 30mg or 0.5mg/kg. CHILD age 1-3 years old (body weight 10-14kg): 1mg TDS, 3-5 years old (body weight 15-19kg): 2mg TDS, 5-9 years old (body weight 20-29kg): 2.5mg TDS, 9-18 years old (body weight 30-60kg): 5mg TDS, 15-18 years old (body weight > 60kg): 10mg TDS. ii) Single dose 5 - 10 minutes before examination; ADULT and CHILD over 15 years: 10 - 20 mg; CHILD less than 15 years: 0.12 mg/kg/dose 6 - 12 hourly",,,,,
METOCLOPRAMIDE HCL 10MG TABLET,,,,,,B,,,"i) ADULT over 15 years & body weight >60kg: 10 mg 3 times daily. CHILD 9-18 years old (body weight 30-60kg): 5mg TDS, 15-18 years old (body weight > 60kg): 10mg TDS. ii) Single dose 5 - 10 minutes before examination; ADULT and CHILD over 15 years: 10 - 20 mg; CHILD less than 15 years: 0.12 mg/kg/dose 6 - 12 hourly",,,,,
PROCHLORPERAZINE MESYLATE 12.5MG/ML INJECTION,,,,,,B,i) Severe nausea and vomiting ii) Vertigo/labyrinthine disorders,,"Deep IM injection, 12.5 mg repeated if necessary after 6 hours and then followed by an oral dose. Not recommended in children",,,,,
PROCHLORPERAZINE MALEATE 5MG TABLET,,,,,,B,i) Severe nausea and vomiting ii) Vertigo/labyrinthine disorders,,"Nausea and vomiting Adult: As maleate or mesilate: 20 mg, further doses are given if needed. Recommended buccal dose: As maleate: 3-6 mg bid. Vertigo Adult: As maleate or mesilate: 15-30 mg daily, given in divided doses. May reduce gradually to 5-10 mg daily. Recommended buccal dose: 3-6 mg bid. May be taken with or without food.",,,,,
DIGOXIN 0.25MG TABLET,,,,,,B,"Heart failure , with atrial fibrillation, supraventricular arrhythmias (particularly, atrial fibrillation)",,"Rapid digitalisation: 0.75 -1.5 mg in divided doses over 24 hours; less urgent digitalisation, 250 mcg-500 mcg daily (higher dose may be divided). Maintenance : 62.5mg -500 mcg daily (higher dose may be divided) according to renal function and , in atrial fibrillation, on heart rate response; usual range, 125-250 mcg daily (lower dose may be appropriate in elderly)",,,,,
FRUSEMIDE 20 mg/2 ml INJECTION,,,,,,B,Pulmonary oedema,,Initially 20 -40 mg IM or slow IV (rate not exceeding 4 mg/min). CHILD: 0.5 - 1.5 mg/kg. Max: 20 mg daily,,,,,
FRUSEMIDE 40MG TABLET,,,,,,B,Pulmonary oedema,,"ADULT: Initial 40 - 80 mg on morning if required, can be increased to a max of 1 g/day in certain cases especially in chronic renal failure. CHILD : 1 - 3 mg/kg daily",,,,,
HYDROCHLORO THIAZIDE 25MG TABLET,,,,,,B,"Diuretic, hypertension",,"ADULT: Diuretics; 25-200 mg daily. Hypertension 12.5-25 mg daily CHILD: Oedema and hypertension; Adjunct; 1 to 2 mg/kg ORALLY daily in single or two divided doses; Children 2-12 years old MAX dose, not to exceed 100 mg ORALLY daily; Infants less than 6 months old, may require doses up to 3 mg/kg ORALLY daily in two divided doses, Infants up to 2 yrs old: MAX dose, not to exceed 37.5 mg ORALLY daily",,,,,
SPIRONOLACTONE 25MG TABLET,,,,,,B,"Oedema and ascites in cirrhosis of the liver, congestive heart failure",,ADULT: 100 - 200 mg daily in divided doses. Increase to 400 mg if required. CHILD: initially 3 mg/kg daily in divided doses,,,,,
ATENOLOL 100MG TABLET,,,,,,B,"Hypertension, angina pectoris, myocardial infarction and arrhythmias",,"Hypertension and arrythmias; 50 - 100 mg daily, Angina; 100 mg daily, Myocardial infarction; individualised",,,,,
BISOPROLOL FUMARATE 2.5 MG TABLET,,,,,,B,i) Hypertension ii)Coronary heart disease (angina pectoris) iii) Treatment of stable congestive cardiac failure in addition to ACEI's and diuretics,,"1.25 mg once daily, gradually titrate to maximum tolerable dose (i) & (ii): Max: 20mg/ day (iii): Max 10mg/ day",,,,,
BISOPROLOL FUMARATE 5 MG TABLET,,,,,,,,,,,,,,
LABETALOL HCL 100MG TABLET,,,,,,B,Hypertension (including in pregnancy),,"ADULT: 100 mg daily with food, increased at intervals of 14 days to usual dose of 200 mg twice daily, up to 800 mg twice daily (3 - 4 divided doses if higher dose). Max: 2.4 g daily",,,,,
METOPROLOL TARTRATE 100MGTABLET,,,,,,B,"Hypertension, angina, myocardial infarction, arrhythmias",,"Hypertension: Initially 100 mg to maximum 400 mg daily, Angina: 50 mg - 100 mg in 2 - 3 times daily. Myocardial infarction: 200 mg daily in divided doses. Arrythmias: 50 mg - 300 mg in 2 - 3 times daily",,,,,
PROPANOLOL HCL 40MG TABLET,,,,,,B,i) Hypertension ii) Angina iii) Myocardial infarct iv) Cardiac arrhythmia v) Portal hypertension vi) Migraine vii) Thyrotoxicosis,,"i) Initially 80 mg twice daily increased as required to a usual range of 160 - 320 mg daily. CHILD: Initial doses of 1 mg/kg in divided doses, can be increased to 2 - 4 mg/kg/day in divided doses ii) Initial dose of 40 mg 2 - 3 times daily. Maintenance 120 - 240 mg daily iii) 40mg 4 times daily for 2 - 3 days then 80 mg twice daily, beginning 5 - 21 days after infarction iv) 10 - 40 mg 3 - 4 times daily v) Initially 40 mg twice daily. The dose may be increased as required up to 160 mg twice daily vi) Initial prophylaxis dose: 40 mg 2 - 3 times daily. The dose may be increased at weekly intervals up to 160 mg daily vii) Adjunct: 10 - 40 mg 3 - 4 times daily. CHILD: Arrythmias, thyrotoxicosis: 0.25 - 0.5 mg/kg 3 - 4 times daily as required",,,,,
CAPTOPRIL 25MG TABLET,,,,,,B,i) Hypertension ii) Congestive heart failure iii) Post-myocardial infarction iv) Diabetic kidney disease,10 TAB/KK (EMERGENCY TROLLEY ITEM),i) Initial: 25-75mg in 2-3 divided doses Maintenance: 100-150mg in 2-3 divided doses ii) Initial: 6.25-12.5mg 2-3 times daily Maintenance: 75-150mg daily in divided doses iii) Initial: 6.25mg followed by 12.5mg and then 25mg Maintenance: 75-150mg daily in 2-3 divided doses iv) 75-100 mg in divided doses Dosing is individualised and according to product insert / protocol.,,,,,
ENALAPRIL 10MG,,,,,,B,i) Hypertension ii) Congestive heart failure,,"i) Initially 5 mg daily, (ELDERLY 2.5 mg once daily), usual maintenance dose 10 - 20 mg daily. Maximum: 40 mg/day in 1 - 2 divided doses ii) Initially 2.5 mg daily, usual maintenance dose 20 mg daily in 1 - 2 divided doses; maximum: 40 mg/day",,,,,
ENALAPRIL 20MG,,,,,,,,,,,,,,
PERINDOPRIL 4MG,,,,,,B,i) Hypertension ii) Congestive heart failure iii) Stable coronary artery disease,,"i) 4 mg as single dose, may be increased to a single 8 mg dose. ELDERLY: Start treatment with 2 mg dose. In renal insufficiency, dose should be adapted according to creatinine clearance ii) Single starting oral dose of 2 mg should be increased to a single 4 mg once BP acceptability has been demonstrated iii) 4 mg once daily for 2 weeks, may be increased to 8 mg once daily. ELDERLY: 2 mg once daily for 1 week, then 4 mg once daily for the following week, may be increased up to 8 mg once daily",,,,,
PERINDOPRIL 8MG,,,,,,,,,,,,,,
PERINDOPRIL 4 MG AND INDAPAMIDE 1.25 MG TABLET,,,,,,B,"Essential hypertension, for patients whose blood pressure is insufficiently controlled by perindopril alone.",10PT /KK (KUOTA),"One tablet daily, preferably taken in the morning and before a meal.",,,,,
PERINDOPRIL 10MG AND INDAPAMIDE 2.5MG FILM COATED TABLET,,,,,,A/KK,"As substitution therapy for treatment of essential hypertension, in patients already controlled with perindopril and indapamide given concurrently at the same dose level.","20 PT (KKS), 30 PT (KKTPG, KKTD, KKB, KKJ, KKBC, KKTS) (KUOTA)",1 tablet daily,,,,,
