Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Sulphamethoxazole 200mg & Trimethoprim 40mg/5ml Suspension,,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01EE01-961-L80-01-XXX,Yes,LP,B,Infections caused by susceptible pathogens, 6 months - 5 years: 240 mg,Mild to moderate infections: more than 2months: 8 - 12mg Trimethoprim/kg/day divided every 12hours. Serious Infections: 15-20mg Trimethoprim/kg/day divided every 6hours.,"Gastrointestinal upsets, stomatitis, glossitis and skin rashes, tinnitus, erythema multiforme, Stevens-Johnson syndrome, Lyell's syndrome, leucopenia, neutropenia, thrombocytopenia, agranulocytosis, megaloblastic anaemia, pancytopenia or purpura, hyperkalaemia. High dose might cause hyperkalemia & hyponatremia.","Marked liver parenchymal damage, blood dyscrasias, severe renal impairment, pregnancy, hypersensitivity. Use with caution in premature babies or full-term infants in the neonatal period",Increased risk of thrombocytopenia with thiazide diuretics in elderly. May require dosage reduction of warfarin and phenytoin. May displace methotrexate from plasma protein binding sites. Increased risk of venticular arrhythmias with amiodarone,"Haematological disorders, elderly, pregnancy, lactation, G6PD deficiency, folate deficiency, impaired renal function NPRA Safety Alert 1. 30.12.2021 Risk of Acute Respiratory Distress Syndrome (ARDS)",False
Enalapril 20mg Tablet,Invoril Tablets 20mg,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09AA02-253-T10-03-XX,Yes,Government Contract,B,i) Hypertension ii) Heart failure iii) Prevention of coronary ischemic events in patients with left ventricular dysfunction,None,i) Initial: 5mg once daily. Maintenance: 10-20mg once daily Max. 40mg daily in 1-2 divided doses ii) & iii) Initial: 2.5mg once daily Maintenance: 20mg in 1-2 divided doses Max. 40mg daily in 2 divided doses Dosing is individualised and according to product insert / protocol.,"Dizziness, headache, diarrhoea, fatigue, asthenia, cough, orthostatic hypotension, hyperkalaemia, angioneurotic oedema (discontinue therapy)",Angioedema induced by other angiotensin converting enzyme (ACE) inhibitors. hypersensitivity to this or any other angiotensin converting enzyme inhibitor. Pregnancy (second and third trimesters particularly),"May have additive effects with other antihypertensives, potassium supplement, potassium-sparing diuretics or potassium-containing salt substitutes. Increased lithium level","Symptomatic hypotension likely to occur in volume depleted patients eg. by diuretic therapy, dietary salt restriction, dialysis, diarrhoea or vomiting, patients with heart failure with or without associated renal insufficiency. Caution in severe heart failure, especially ischemic heart or cerebrovascular disease. Patients with obstruction in the outflow tract of the left ventricle. Renal impairment patients with bilateral renal artery stenosis or stenosis of the artery to a solitary kidney. Dosage reduction and or discontinuation of the diuretic and or enalapril may be required. Serum potassium should be monitored. Not recommended during pregnancy. Lactation. Children",False
Acyclovir (Aciclovir) 5% Cream,,Dermatologicals > Antibiotics and Chemotherapeutics for Dermatological Use,D06BB03-000-G10-01-XXX,No,LP,A*,"Herpes simplex infections of the skin, including initial and recurrent labial and genital herpes simplex infections",None,Apply every 4 hours for 5 - 10 days,"Transient burning or stinging or erythema, mild drying or flaking of the skin",Hypersensitivity to acyclovir or valacyclovir,Not known,"Application to mucous membranes, pregnancy, lactation. Should not be used in the eyes",True
Dexamethasone Sodium Phosphate 0.1% Eye Drops,Maxidex,Sensory Organs > Ophthalmologicals,S01BA01-162-D20-01-XXX,No,LP,A,Acute steroid responsive inflammatory and allergic conditions,None,1 - 2 drops 4 - 6 times a day,"Red eye, steroid glaucoma, steroid cataract, thinning of the cornea and sclera. Burning, dry eyes, photophobia, glaucoma, elevated intraocular pressure, optic nerve damage, cataract","Viral, fungal, tuberculosis and other infections of the eye. Hypersensitivity to dexamethasone",Not known,"- Discontinue use if fungal infection occurs. - Predisposed patients eg, diabetes & patients treated w/ CYP3A4 inhibitors. - Cushing's syndrome &/or adrenal suppression. - Patients w/ persistent corneal ulceration. - Diseases causing thinning of the cornea or sclera, perforation. - Avoid contact w/ soft contact lenses. • Remove contact lens prior to application & wait 15 min before reinsertion. - Avoid abrupt discontinuation. - Prolonged use. - Concomitant use w/ topical NSAIDs. - May affect ability to drive & use machines. - Not to be used in children.",True
Dextrose 10% Injection,-,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05BA03000P6002XX,Yes,APPL,B,For parenteral replenishment of fluid and minimal carbohydrate calories as required by the clinical condition of the patient,None,According to the needs of the patient,"Thrombophlebitis, rebound hypoglycaemia, hypokalaemia, pulmonary embolism, right atrial thrombosis, extravasation","Do not use concentrated solutions of dextrose in patients with anuria, diabetic coma, hyperglycaemia, intracranial or intraspinal haemorrhage, delirium tremens in dehydrated patients and glucose-galactose malabsorption syndrome. Do not administered simultaneously with blood through the same infusion set because of the possibility that pseudoagglutination of red cells may occur",Not known,"Diabetes mellitus or carbohydrate intolerance and hyperglycaemia may accentuate neurologic damage for an ischaemic insult. Patients at risk for cerebral ischaemia, acute stroke, impending cardiac arrest or severe hypotension unless hypoglycaemia is suggested or until glucose is determined",False
Diazepam 5mg/ml Injection,Valium,Nervous System > Psycholeptics,N05BA01-000-P30-01-XXX,Yes,APPL,B,i) Status epilepticus ii) Skeletal muscle spasm iii) Anxiety disorders,None,"i) ADULT: initial dose 10-20mg IV, in the following hours 20mg IM or by intravenous drip infusion as necessary. CHILD 2 to 5 years of age: slow IV 0.2 - 0.5mg every two to five minutes up to a maximum of 5mg. If necessary, dose can be repeated in two to four hours. CHILD 5 years and older: slow IV 1mg every two to five minutes up to a maximum of 10mg. If necessary, dose can be repeated in two to four hours. ii) ADULT: 10mg once or twice IV. CHILD 2 to 5 years of age: IM or IV, 1 to 2mg the dosage being repeated every three to four hours as needed. CHILD 5 years and older: IM or IV, 5 to 10mg, the dosage being repeated every three to four hours as needed. iii) ADULT: 10-20mg three times daily IM or IV until acute symptoms subside.","Drowsiness, dizziness, vertigo, hallucinations, blurred vision, confusion, muscle weakness, fatigue, incontinence or urinary retention, constipation, rashes, changes in libido, leukopenia and gastrointestinal, hypotension, ataxia, respiratory depression, sedation, depression, headache, nausea, tremor, withdrawal syndrome, neutropenia, hepatotoxicity, pancytopenia, thrombocytopenia, blood dyscrasias, bradycardia, dependence/abuse. Paradoxical reactions in children and elderly.","Respiratory depression, acute pulmonary insufficiency, severe hepatic impairment, acute narrow angle glaucoma, myasthenia gravis, hypersensitivity to diazepam products, children less than 2 years old due to benzyl alcohol content in formulation, alcohol intoxication, central nervous system depression","Central nervous system depressants, barbiturates, alcohol, isoniazid, rifampicin, phenytoin, ritonavir, omeprazole, cimetidine, theophylline, digoxin, erythromycin, itraconazole","Respiratory disease, history of drug or alcohol abuse, drug dependence, pregnancy, breast feeding, renal and hepatic impairment and avoid operating vehicles or machinery",False
Adenosine 3 mg/ml Injection,Adenocor,Cardiovascular System > Cardiac Therapy,C01EB10-000-P30-01-XXX,Yes,LP,B,Rapid conversion of paroxysmal supraventricular tachycardia to sinus rhythm,None,"ADULT: Initially: 3 mg given as a rapid IV bolus (over 2 seconds). Second dose: If the first dose does not result in elimination of the supraventricular tachycardia with in 1 or 2 minutes, 6 mg should be given also as a rapid IV bolus. Third dose: If the second dose does not result in elimination of the supraventicular tachycardia with in 1-2 minutes, 12 mg should be given also as a rapid IV bolus","Facial flush, dyspnoea, a feeling of thorasic constriction, nausea, lightheadedness, feeling of discomfort, sweating, palpitations, hyperventilation, head pressure, apprehension, blurred vision, burning sensation, bradycardia, chest pains, headache, dizziness, heaviness in arms, arm, back and neck pains; metallic taste","Bradycardia, bronchoconstrictive or bronchospastic lung disease (eg. asthma). Hypersensitivity to adenosine, second-degree or third-degree AV block (unless pacemaker fitted), sinus node disease (eg. sick sinus syndrome)",Actions may be potentiated by dipyridamole and carbamazepine. Theophylline & caffeine inhibit its action,"Avoid concomitant use of dipyridamole and methylxanthines (eg: caffeine, theophylline). Cardiac arrest, heart block, heart transplant patients, hypertension, hypotension, myocardial infarction. Proarrhythmic events; new rhythms, particularly at time of conversion and unstable angina",False
Diazepam 5mg Rectal Solution,,Nervous System > Psycholeptics,N05BA01-000-G20-01-XXX,Yes,LP,B,i) Status epilepticus ii) Skeletal muscle spasm,None,"Status epilepticus - ADULT: 0.5 mg/kg repeated after 12 hours if necessary. CHILD (febrile convulsions, prolonged or recurrent): 0.5 mg/kg (maximum 10 mg), repeated if necessary. Not recommended for children below 2 years","Drowsiness, dizziness, vertigo, hallucinations, blurred vision, confusion, muscle weakness, fatigue, incontinence or urinary retention, constipation, rashes, changes in libido, leukopenia and gastrointestinal disturbances. Paradoxical reactions in children and elderly","Respiratory depression, acute pulmonary insufficiency, severe hepatic impairment, acute narrow angle glaucoma, myasthenia gravis","Central nervous system depressants, alcohol, barbiturates, antibacterials, antivirals, omeprazole","Respiratory disease, history of drug or alcohol abuse, drug dependence, pregnancy, breast feeding, renal and hepatic impairment and avoid operating vehicles or machinery",False
Diclofenac 50mg Tablet,Voltaren,Musculo-skeletal System > Antiinflammatory and Antirheumatic Products,M01AB05-520-T10-01-XXX,No,LP,B,Pain and inflammation in rheumatic disease and of non-rheumatic origin,None,ADULTS: Initial dose of 150 mg daily. Mild or long term: 75 - 150 mg daily in 2 to 3 divided doses after food. Maximum: 200mg/day. CHILD more than 6 months : 1 - 3 mg/kg body weight daily in divided doses. Maximum: 3mg/kg/day (150mg/day).,"Epigastric pain, GI disturbances, slight dizziness, hypersensitivity, oedema, nephrotoxicity, abnormal liver function, headache, neurological, haematological and dermatological side effects. NPRA Safety Alert 1. 26 Aug 2019 Risk of: (i) Anastomotic leakage and (ii) Kounis syndrome 2. 11 Apr 2023 Off-Label Use of Diclofenac Suppositories to Treat Fever in Children: Potential Risk of Acute Necrotising Encephalopathy of Childhood (ANEC)","Patients with: - history of hypersensitivity to diclofenac or aspirin/other NSAIDs. - Peptic or intestinal ulcer. - History of asthma, urticaria or acute rhinitis precipitated by aspirin or other NSAIDs. - Recent rectal bleeding.","- Increases plasma concentration of warfarin, lithium, & methotrexate. - May reduce effects of diuretics & beta blockers. - May alter plasma concentration of sulfonylureas. - Caution with concomitant use of diuretics and antihypertensives (eg beta-blockers, ACEI ), methotrexate, other NSAIDs and corticosteroids, SSRIs. - Monitoring recommended for patients receiving anticoagulants, antiplatelets agents as well as blood glucose level if used concomitantly with antidiabetics. - Digoxin, ciclosporin, quinolones","- Patient with history of gastrointestinal bleeding or peptic ulceration, coagulopathy, current or risk factors for CV disease (e.g. CHF, ischaemic heart disease, CVA, hypertension, oedema, hyperlipidaemia, diabetes mellitus), dehydration, hypovolemia, asthma, rhinitis, COPD, respiratory tract infections, SLE, mixed connective tissue disorders, porphyria, ocular disease including infections (ophthalmic). - Hepatic and renal impairment. - Children. - Pregnancy (1st-2nd trimester) and lactation. - Smokers. - Avoid prolonged use for migraine (powder for oral solution).",False
Digoxin 0.25mg Tablet,Lanoxin,Cardiovascular System > Cardiac Therapy,C01AA05-000-T10-01-XX,Yes,APPL,B,"Heart failure , with atrial fibrillation, supraventricular arrhythmias (particularly, atrial fibrillation)",None,"Rapid digitalisation: 0.75 -1.5 mg in divided doses over 24 hours; less urgent digitalisation, 250 mcg-500 mcg daily (higher dose may be divided). Maintenance : 62.5mg -500 mcg daily (higher dose may be divided) according to renal function and , in atrial fibrillation, on heart rate response; usual range, 125-250 mcg daily (lower dose may be appropriate in elderly)","Nausea, vomiting, anorexia, diarrhoea, abdominal pains, salivation, sweating; headache, facial pain, malaise, fatigue, drowsiness, depression, disorientation, mental confusion, delirium, hallucination, visual disturbance.Hypokalaemia. Ventricular premature contractions, atrial or ventricular arrhythmias and conduction defects","Digoxin is contraindicated in intermittent complete heart block or second degree atrioventcular block,especially if there is a history of Stokes-Adams attacks. Contraindicated in arrhythmias caused by cardiac glycoside intoxication,supraventricular arrhythmias as in the Wolff-Parkinson-White syndrome,ventriculartachycardia,hypertrophic cardiomyopathy, and hypersensitivity to digoxin.","Plasma concentration increased by quinidine, verapamil, nifedipine, amiodarone. Hypokalaemia may be associated with diuretics, lithium, carbenoxolone, corticosteroids. Antacids, neomycin may reduce serum level of digoxin","Acute myocardial infarction, acute myocarditis, amyloid cardiomyopathy, AV block. Chronic constrictive pericarditis, electrolyte imbalance (eg. hypokalaemia, hypocalcaemia or hypercalcaemia, hypomagnesaemia), hypothyroidism, hypoxia, idiopathic hypertrophic subaortic stenosis. Renal disease, severe bradycardia, severe heart failure and pulmonary disease, ventricular tachycardia and Wolff-Parkinson-White syndrome",False
